id,name,draft_year,draft_pick,nba_career_start,nba_career_end,nba_games_played,nba_all_star_selections,nba_all_nba_selections,nba_championships,nba_mvps,nba_rookie_of_the_year,nba_dpoy,nba_mip,nba_sixth_man,college_stats_raw,international_stats_raw,position,height_cm,weight_kg,original_radar_score,current_status_badge,nba_career_ppg,nba_career_rpg,nba_career_apg,nba_career_fg_pct,nba_career_three_pct,nba_career_ft_pct,nba_career_spg,nba_career_bpg
jrue-holiday,Jrue Holiday,2009,17,,,,2,,,,false,false,false,false,"{""apg"":3.7,""ppg"":8.5,""rpg"":3.8,""fg_pct"":0.45,""ft_pct"":0.726,""three_pct"":0.307}",,Guard,193,93,0.32,All-Star,15.836,4.185,6.21,0.462,0.37,0.788,1.42,0.516
kawhi-leonard,Kawhi Leonard,2011,15,,,,6,,,,false,false,false,false,"{""apg"":2.2,""ppg"":14.1,""rpg"":10.2,""fg_pct"":0.449,""ft_pct"":0.744,""three_pct"":0.25}",,Forward,201,102,0.35,Superstar,20.1,6.36,3.05,0.499,0.392,0.86,1.712,0.643
kemba-walker,Kemba Walker,2011,9,,,,4,,,,false,false,false,false,"{""apg"":4.1,""ppg"":16.1,""rpg"":4.4,""fg_pct"":0.428,""ft_pct"":0.783,""three_pct"":0.326}",,Guard,183,83,0.36,All-Star,19.315,3.775,5.251,0.418,0.36,0.84,1.231,0.376
kevin-durant,Kevin Durant,2007,2,2007,2025,1064,14,10,2,1,true,false,false,false,"{""apg"":1.3,""ppg"":25.8,""rpg"":11.1,""fg_pct"":0.532,""ft_pct"":0.823,""three_pct"":0.398}",,Forward,208,109,0.96,All-Star Perene,27.297,6.958,4.396,0.504,0.39,0.884,1.032,1.145
klay-thompson,Klay Thompson,2011,11,,,,5,,,,false,false,false,false,"{""apg"":2.6,""ppg"":17.9,""rpg"":4.8,""fg_pct"":0.424,""ft_pct"":0.827,""three_pct"":0.39}",,Guard,196,100,0.37,All-Star,19.117,3.516,2.298,0.451,0.411,0.86,0.839,0.512
kobe-bryant,Kobe Bryant,1996,13,1996,2016,1346,18,15,5,1,true,false,false,false,"{""apg"":4.5,""ppg"":17.6,""rpg"":6.3,""fg_pct"":0.454,""ft_pct"":0.772,""three_pct"":0.365}",,Guard,198,96,0.97,Hall of Fame,24.995,5.236,4.685,0.447,0.329,0.837,1.444,0.475
kyrie-irving,Kyrie Irving,2011,1,,,,9,,,,false,false,false,false,"{""apg"":4.3,""ppg"":17.5,""rpg"":3.4,""fg_pct"":0.529,""ft_pct"":0.901,""three_pct"":0.462}",,Guard,188,88,0.39,All-Star,23.905,4.144,5.597,0.476,0.392,0.889,1.297,0.455
lamelo-ball,LaMelo Ball,2020,3,2020,2025,250,1,0,0,0,true,false,false,false,"{""apg"":6.8,""ppg"":18.4,""rpg"":6.2,""fg_pct"":0.43,""ft_pct"":0.83,""three_pct"":0.37}",,Guard,201,82,0.8,All-Star,21.035,5.97,7.403,0.421,0.365,0.837,1.472,0.329
larry-bird,Larry Bird,1978,6,1979,1992,897,12,10,3,3,true,false,false,false,"{""apg"":4.6,""ppg"":21.3,""rpg"":10.7,""fg_pct"":0.496,""ft_pct"":0.832,""three_pct"":0.376}",,Forward,206,100,0.97,Hall of Fame,24.293,10.004,6.349,0.496,0.376,0.886,1.735,0.842
lebron-james,LeBron James,2003,1,,,,20,,,,false,false,false,false,{},,Forward,206,113,0.17,Superstar,27.006,7.51,7.416,0.506,0.349,0.737,1.501,0.736
lou-williams,Lou Williams,2005,45,2005,2022,1123,0,0,0,0,false,false,false,true,"{""apg"":3.4,""ppg"":27.5,""rpg"":4.1,""fg_pct"":0.48,""ft_pct"":0.82,""three_pct"":0.37}",,Guard,185,80,0.68,Sixth Man,13.987,2.224,3.349,0.419,0.354,0.846,0.85,0.172
luka-doni,Luka Dončić,,,2018,2024,500,0,0,0,0,false,false,false,false,{},,,,,0.24,Jogador de Rotação Sólido,28.572,8.58,8.166,0.466,0.352,0.754,1.29,0.448
magic-johnson,Magic Johnson,1979,1,1979,1996,906,12,10,5,3,true,false,false,false,"{""apg"":8.3,""ppg"":17.1,""rpg"":7.9,""fg_pct"":0.52,""ft_pct"":0.848,""three_pct"":0.303}",,Guard,206,99,0.98,Hall of Fame,19.544,7.24,11.193,0.52,0.303,0.848,1.903,0.413
manu-ginobili,Manu Ginóbili,1999,57,2002,2018,1057,2,0,4,0,false,false,false,true,"{""apg"":3.8,""ppg"":16.9,""rpg"":4,""fg_pct"":0.48,""ft_pct"":0.77,""three_pct"":0.35}","{""apg"":3.5,""ppg"":16.7,""rpg"":4.4,""fg_pct"":0.47}",Guard,198,93,0.85,Hall of Fame,,,,,,,,
marcus-morris-sr,Marcus Morris Sr.,2011,14,,,,0,,,,false,false,false,false,"{""apg"":1.3,""ppg"":12.6,""rpg"":6.2,""fg_pct"":0.555,""ft_pct"":0.66,""three_pct"":0.358}",,Forward,203,99,0.33,Jogador de rotação,11.676,4.325,1.391,0.434,0.38,0.769,0.639,0.295
marcus-smart,Marcus Smart,2014,6,2014,2025,700,1,0,0,0,false,true,false,false,"{""apg"":4.8,""ppg"":16.6,""rpg"":5.9,""fg_pct"":0.42,""ft_pct"":0.78,""three_pct"":0.34}",,Guard,193,100,0.75,Defensive Specialist,10.523,3.369,4.49,0.388,0.325,0.775,1.544,0.354
markelle-fultz,Markelle Fultz,2017,1,,,,0,,,,false,false,false,false,"{""apg"":5.9,""ppg"":23.2,""rpg"":5.7,""fg_pct"":0.476,""ft_pct"":0.649,""three_pct"":0.413}",,Guard,193,95,0.37,Bust (Loteria),10.416,3.204,4.357,0.47,0.28,0.732,1.122,0.275
markieff-morris,Markieff Morris,2011,13,,,,0,,,,false,false,false,false,"{""apg"":1.2,""ppg"":8.5,""rpg"":6.1,""fg_pct"":0.553,""ft_pct"":0.653,""three_pct"":0.404}",,Forward,206,111,0.32,Jogador de rotação,9.928,4.678,1.521,0.439,0.343,0.776,0.715,0.452
michael-jordan,Michael Jordan,1984,3,1984,2003,1072,14,10,6,5,true,false,false,false,"{""apg"":5.3,""ppg"":17.7,""rpg"":5,""fg_pct"":0.541,""ft_pct"":0.784,""three_pct"":0.384}",,Guard,198,98,0.99,Hall of Fame,30.123,6.224,5.255,0.497,0.327,0.835,2.345,0.833
mikal-bridges,Mikal Bridges,2018,10,,,,0,,,,false,false,false,false,"{""apg"":1.6,""ppg"":11.3,""rpg"":4.3,""fg_pct"":0.525,""ft_pct"":0.845,""three_pct"":0.4}",,Guard-Forward,198,95,0.34,Elite role player,15.454,4.023,2.801,0.481,0.373,0.854,1.16,0.592
myles-turner,Myles Turner,2015,11,,,,0,,,,false,false,false,false,"{""apg"":0.6,""ppg"":10.1,""rpg"":6.5,""fg_pct"":0.455,""ft_pct"":0.839,""three_pct"":0.274}",,Center-Forward,211,113,0.32,Elite role player,14.067,6.774,1.266,0.499,0.362,0.771,0.685,2.199
nikola-jokic,Nikola Jokic,,41,,,,,,,,false,false,false,false,"{""apg"":4,""per"":25,""ppg"":15,""rpg"":10,""defense"":7,""shooting"":7,""archetype"":""Playmaking Big"",""leadership"":9,""ts_percent"":0.6,""usage_rate"":0.25,""tov_percent"":0.15,""ballHandling"":8,""basketballIQ"":10,""careerRating"":9.7}",,Center,211,,0.55,Superstar,,,,,,,,
og-anunoby,OG Anunoby,2017,23,,,,0,,,,false,false,false,false,"{""apg"":0.8,""ppg"":6.8,""rpg"":3.5,""fg_pct"":0.563,""ft_pct"":0.522,""three_pct"":0.365}",,Forward-Guard,201,109,0.29,Elite role player,13.037,4.339,1.731,0.476,0.376,0.76,1.301,0.6
paolo-banchero,Paolo Banchero,2022,1,2022,2025,82,0,0,0,0,true,false,false,false,"{""apg"":3.7,""ppg"":20,""rpg"":6.9,""fg_pct"":0.43,""ft_pct"":0.75,""three_pct"":0.34}",,Forward,208,113,0.81,Promissor,22.384,7.051,4.641,0.445,0.32,0.73,0.843,0.576
patrick-ewing,Patrick Ewing,1985,1,1985,2002,1183,11,7,0,0,false,false,false,false,"{""apg"":1.1,""ppg"":15.3,""rpg"":9.2,""fg_pct"":0.567,""ft_pct"":0.74,""three_pct"":0.2}",,Center,213,109,0.95,Hall of Fame,20.976,9.811,1.872,0.504,0.152,0.74,0.96,2.446
reggie-miller,Reggie Miller,1987,11,1987,2005,1389,5,3,0,0,false,false,false,false,"{""apg"":2.7,""ppg"":18.2,""rpg"":3,""fg_pct"":0.47,""ft_pct"":0.888,""three_pct"":0.395}",,Guard,201,88,0.93,Hall of Fame,18.199,3.011,2.981,0.471,0.395,0.888,1.084,0.215
